Date,Close,High,Low,Open,Volume,Ticker,Name
2018-01-02,14.521714210510254,14.521714210510252,14.343073936725355,14.360361978164844,3155680,D05.SI,DBS Bank
2018-01-03,14.91357135772705,14.925097123033309,14.521715890971045,14.521715890971045,5108070,D05.SI,DBS Bank
2018-01-04,15.270853996276855,15.270853996276857,14.873236198019267,14.982724333411596,6269670,D05.SI,DBS Bank
2018-01-05,15.167126655578613,15.316953146737456,15.069161878548485,15.167126655578613,4527820,D05.SI,DBS Bank
2018-01-08,15.242035865783691,15.24779814260145,15.121022007418993,15.172884916855526,2881450,D05.SI,DBS Bank
2018-01-09,15.276617050170898,15.29966616514488,15.109501294299433,15.126789339568681,4296270,D05.SI,DBS Bank
2018-01-10,15.305428504943848,15.305428504943846,15.138313970645566,15.138313970645566,4196170,D05.SI,DBS Bank
2018-01-11,15.247798919677734,15.316949872130051,15.161359926852732,15.299661831757367,3842740,D05.SI,DBS Bank
2018-01-12,15.1786470413208,15.357287293185086,15.155596725242777,15.270848305632905,4830870,D05.SI,DBS Bank
2018-01-15,15.293903350830078,15.328479440157768,15.224752381213417,15.242040425877262,2496670,D05.SI,DBS Bank
2018-01-16,15.276617050170898,15.322717698196387,15.207466078132667,15.270853562388641,3520880,D05.SI,DBS Bank
2018-01-17,15.103737831115723,15.293902687048377,15.103737831115723,15.213227163849757,5267680,D05.SI,DBS Bank
2018-01-18,14.9827241897583,15.207466364411758,14.878998334267704,15.201702876521002,4404290,D05.SI,DBS Bank
2018-01-19,15.172889709472656,15.172889709472658,14.878997781437567,14.878997781437567,4935260,D05.SI,DBS Bank
2018-01-22,15.236275672912598,15.2593259923747,15.086447991889663,15.172886992132183,6192340,D05.SI,DBS Bank
2018-01-23,15.466781616210938,15.495594218399365,15.299665863632839,15.322717396230068,11050160,D05.SI,DBS Bank
2018-01-24,15.656949043273926,15.668473601528174,15.495595555403725,15.553221973791489,9225370,D05.SI,DBS Bank
2018-01-25,15.426441192626953,15.789484042568589,15.368815995926878,15.789484042568589,8234050,D05.SI,DBS Bank
2018-01-26,15.316951751708984,15.403390755141118,15.224750470458327,15.386102712646977,5428610,D05.SI,DBS Bank
2018-01-29,15.322714805603027,15.432202917215529,15.322714805603027,15.328477083258731,2995300,D05.SI,DBS Bank
2018-01-30,15.213225364685059,15.322714684470537,15.086448003030608,15.132548641988858,4816447,D05.SI,DBS Bank
2018-01-31,15.213225364685059,15.299663155952887,15.074923447810306,15.109498322509733,7360870,D05.SI,DBS Bank
2018-02-01,15.334242820739746,15.386105749419842,15.126789896980553,15.213228917473252,5148990,D05.SI,DBS Bank
2018-02-02,15.374578475952148,15.432203673409948,15.207463952478221,15.328477834370473,4316400,D05.SI,DBS Bank
2018-02-05,15.063397407531738,15.149836406254193,14.982720686313847,15.034584810970422,4706790,D05.SI,DBS Bank
2018-02-06,14.821367263793945,14.861704408837666,14.4237484176225,14.694589924975666,11747890,D05.SI,DBS Bank
2018-02-07,14.61391830444336,15.23627824397967,14.533242777231555,15.213227920627908,11037290,D05.SI,DBS Bank
2018-02-08,15.391867637634277,15.426442516814472,14.907809656802081,15.328478948592123,15821084,D05.SI,DBS Bank
2018-02-09,15.391867637634277,15.420680238457553,14.93662346666404,15.080687679819105,11054340,D05.SI,DBS Bank
2018-02-12,15.737621307373047,15.777959670956953,15.36305268829741,15.443729415465224,7490450,D05.SI,DBS Bank
2018-02-13,15.922026634216309,15.933551192073667,15.743386315116862,15.864400217813118,8739500,D05.SI,DBS Bank
2018-02-14,16.152530670166016,16.34845904465368,15.996940668225644,16.07761741332023,10712240,D05.SI,DBS Bank
2018-02-15,16.29659080505371,16.31964233417231,16.18710269145242,16.18710269145242,5185180,D05.SI,DBS Bank
2018-02-19,16.383031845092773,16.463708579925584,16.296592831782963,16.308118597775668,3696550,D05.SI,DBS Bank
2018-02-20,16.515567779541016,16.590482219001377,16.406079677016052,16.411841954193488,6948920,D05.SI,DBS Bank
2018-02-21,16.9708194732666,16.982345241832284,16.492524863089834,16.515575191182222,8752150,D05.SI,DBS Bank
2018-02-22,16.71150016784668,16.924716565888726,16.71150016784668,16.84980210812538,8748740,D05.SI,DBS Bank
2018-02-23,17.051488876342773,17.12063983081354,16.826747972053166,16.826747972053166,7381110,D05.SI,DBS Bank
2018-02-26,17.07453727722168,17.120637908358944,17.039962408387893,17.120637908358944,4402860,D05.SI,DBS Bank
2018-02-27,16.746074676513672,17.114881051438786,16.723025562684473,17.057254639749683,7079160,D05.SI,DBS Bank
2018-02-28,16.538618087768555,16.878610576617884,16.365740100237616,16.878610576617884,13382218,D05.SI,DBS Bank
2018-03-01,16.596250534057617,16.596250534057617,16.342696946582514,16.480998903387114,7899760,D05.SI,DBS Bank
2018-03-02,16.37150764465332,16.475234704691648,16.23896798256385,16.394557968101978,4604710,D05.SI,DBS Bank
2018-03-05,16.135236740112305,16.469466948001433,16.048797747325995,16.452178907636487,6751580,D05.SI,DBS Bank
2018-03-06,16.452184677124023,16.452184677124023,16.308120444651703,16.308120444651703,6905536,D05.SI,DBS Bank
2018-03-07,16.187103271484375,16.36574235172697,16.187103271484375,16.33692975285411,5166040,D05.SI,DBS Bank
2018-03-08,16.267776489257812,16.29658908405548,16.198625536320353,16.221675853966175,3977600,D05.SI,DBS Bank
2018-03-09,16.21015739440918,16.342697072964942,16.146768694790484,16.342697072964942,3488650,D05.SI,DBS Bank
2018-03-12,16.561676025390625,16.613538961896232,16.36574762997979,16.36574762997979,5802170,D05.SI,DBS Bank
2018-03-13,16.7518367767334,16.7518367767334,16.544383888102168,16.55590844406238,5865860,D05.SI,DBS Bank
2018-03-14,16.780649185180664,16.820987548660693,16.602008897516466,16.769123420312688,6902079,D05.SI,DBS Bank
2018-03-15,16.486759185791016,16.705737862061795,16.43489626053063,16.705737862061795,7702972,D05.SI,DBS Bank
2018-03-16,16.27930450439453,16.394556108565524,16.267778739458134,16.394556108565524,5668190,D05.SI,DBS Bank
2018-03-19,16.17557716369629,16.336929406618722,16.16405260800683,16.336929406618722,2905760,D05.SI,DBS Bank
2018-03-20,16.31964111328125,16.36574054095403,16.066086402330928,16.077612166027972,3617350,D05.SI,DBS Bank
2018-03-21,16.365739822387695,16.423366220265798,16.285064316204444,16.342690714082547,3167450,D05.SI,DBS Bank
2018-03-22,16.204391479492188,16.42336892581059,16.204391479492188,16.42336892581059,3197260,D05.SI,DBS Bank
2018-03-23,15.789484024047852,15.945073989417276,15.708808506954663,15.945073989417276,9429200,D05.SI,DBS Bank
2018-03-26,15.679996490478516,15.82982419510486,15.51288195031117,15.558982596497936,8732020,D05.SI,DBS Bank
2018-03-27,15.89897632598877,15.922026650766245,15.74914861041578,15.85287567643382,7934410,D05.SI,DBS Bank
2018-03-28,15.47830581665039,15.789485782035747,15.478305816650389,15.789485782035747,9158265,D05.SI,DBS Bank
2018-03-29,15.84710693359375,15.898969840928912,15.547451624674721,15.558977386881596,10862940,D05.SI,DBS Bank
2018-04-02,15.74338150024414,15.870158852134962,15.737619223077767,15.82982049389348,3156780,D05.SI,DBS Bank
2018-04-03,15.662711143493652,15.662711143493652,15.478308526986856,15.587797882797497,5274280,D05.SI,DBS Bank
2018-04-04,15.25356674194336,15.679997132101034,15.184414560794803,15.679997132101034,6387548,D05.SI,DBS Bank
2018-04-05,15.720335960388184,15.806774980308749,15.478306946418364,15.558983687421236,7119420,D05.SI,DBS Bank
2018-04-06,15.939314842224121,16.00846581718828,15.558983875401832,15.628134850365992,7347670,D05.SI,DBS Bank
2018-04-09,16.019987106323242,16.164052514881487,15.731857498245317,15.904735504899785,4749360,D05.SI,DBS Bank
2018-04-10,16.129478454589844,16.164054543876333,15.893212944274145,15.904737501343828,5089150,D05.SI,DBS Bank
2018-04-11,16.17557716369629,16.233203569259302,16.106426202443817,16.12371424501658,3843510,D05.SI,DBS Bank
2018-04-12,16.181339263916016,16.308116629339846,16.13523862358709,16.221677626463467,2895682,D05.SI,DBS Bank
2018-04-13,16.377269744873047,16.417608112728512,16.27930617354296,16.30235649674055,6032620,D05.SI,DBS Bank
2018-04-16,16.452184677124023,16.480998490849565,16.296594677353717,16.423372072437328,3814360,D05.SI,DBS Bank
2018-04-17,16.555912017822266,16.642351042336994,16.377271689568857,16.492523319242206,3794670,D05.SI,DBS Bank
2018-04-18,16.9189510345459,16.970813953625967,16.705735871297833,16.72302391400405,7680640,D05.SI,DBS Bank
2018-04-19,17.23589324951172,17.258943570113193,16.999626556567698,17.051490684699946,7522460,D05.SI,DBS Bank
2018-04-20,17.051488876342773,17.258941739755073,16.970812158274317,17.12063983081354,5523210,D05.SI,DBS Bank
2018-04-23,17.07453727722168,17.15521398623105,16.844034121535362,16.901659305937784,3223770,D05.SI,DBS Bank
2018-04-24,17.28199577331543,17.287758051833862,16.98810385137213,17.155219600716364,5892920,D05.SI,DBS Bank
2018-04-25,17.1667423248291,17.281993928085683,17.08030332012702,17.207080688228555,5880600,D05.SI,DBS Bank
2018-04-26,17.137929916381836,17.281994119790987,17.114879595474825,17.281994119790987,4658060,D05.SI,DBS Bank
2018-04-27,17.287757873535156,17.287757873535156,17.1436936578279,17.264707550660447,5805910,D05.SI,DBS Bank
2018-04-30,17.77181053161621,17.852486032956673,17.535543886248526,17.633507426818497,8547216,D05.SI,DBS Bank
2018-05-02,17.639272689819336,18.025365823307705,17.58164628959432,17.910114231896138,10327790,D05.SI,DBS Bank
2018-05-03,17.50179672241211,17.531683329000007,17.280633827091638,17.448000579732643,12713151,D05.SI,DBS Bank
2018-05-04,17.214876174926758,17.543632492944642,17.0714190093305,17.543632492944642,8119705,D05.SI,DBS Bank
2018-05-07,17.31650161743164,17.346389485225192,17.208909306515885,17.334434087286457,4980800,D05.SI,DBS Bank
2018-05-08,17.32845115661621,17.358337760198523,17.244767161658366,17.298563298927753,4655310,D05.SI,DBS Bank
2018-05-09,17.19097137451172,17.33442857955593,17.041535845344367,17.33442857955593,5207070,D05.SI,DBS Bank
2018-05-10,17.238792419433594,17.35236303330864,17.17901795009177,17.286611493264527,4968590,D05.SI,DBS Bank
2018-05-11,17.615365982055664,17.663185050573205,17.24476757399164,17.334428640988573,5962770,D05.SI,DBS Bank
2018-05-14,17.465932846069336,17.687095738866688,17.4061583794692,17.615367131410284,2802800,D05.SI,DBS Bank
2018-05-15,17.262697219848633,17.424086863272883,17.25672015078632,17.38224487162475,3511090,D05.SI,DBS Bank
2018-05-16,17.286611557006836,17.436045849752947,17.143154334985056,17.214882945995946,4589090,D05.SI,DBS Bank
2018-05-17,17.244768142700195,17.442021493313646,17.22085860765292,17.406157817795844,3919960,D05.SI,DBS Bank
2018-05-18,17.334428787231445,17.334428787231445,17.208904044840448,17.334428787231445,3426940,D05.SI,DBS Bank
2018-05-21,17.573522567749023,17.64525116474645,17.513748109864792,17.513748109864792,5276480,D05.SI,DBS Bank
2018-05-22,17.442018508911133,17.65122721830484,17.406154839529755,17.573521556223522,2493920,D05.SI,DBS Bank
2018-05-23,17.173036575317383,17.495815869831283,17.15510411359861,17.477883408112508,4805020,D05.SI,DBS Bank
2018-05-24,17.304542541503906,17.328453332299265,17.059470103967698,17.274655934169168,3446976,D05.SI,DBS Bank
2018-05-25,17.298561096191406,17.334426019208188,17.1252173125596,17.202922973621305,2996620,D05.SI,DBS Bank
2018-05-28,17.424089431762695,17.483862639408954,17.32247297219421,17.334428366187154,2488970,D05.SI,DBS Bank
2018-05-30,16.874170303344727,17.083379055737392,16.820374161162864,16.939921840514923,8867210,D05.SI,DBS Bank
2018-05-31,16.957853317260742,17.12522005859574,16.916011318400447,17.12522005859574,10187870,D05.SI,DBS Bank
2018-06-01,16.91600799560547,16.975781193002256,16.832325268428782,16.945894594303862,3388994,D05.SI,DBS Bank
2018-06-04,17.214876174926758,17.214876174926758,17.023599954131747,17.023599954131747,3043040,D05.SI,DBS Bank
2018-06-05,17.406160354614258,17.412137425720637,17.26868019452917,17.382250816082347,4063950,D05.SI,DBS Bank
2018-06-06,17.226835250854492,17.453975184584248,17.190970324730475,17.40615611915629,4295610,D05.SI,DBS Bank
2018-06-07,17.214876174926758,17.483858046893285,17.101305605303263,17.483858046893285,4804250,D05.SI,DBS Bank
2018-06-08,17.035558700561523,17.322473109390735,16.975784238335688,17.09533316278736,4483270,D05.SI,DBS Bank
2018-06-11,17.125219345092773,17.202925015377097,17.035558281015245,17.131196414936305,2673660,D05.SI,DBS Bank
2018-06-12,17.023605346679688,17.137175952278813,16.98176334660008,17.065446092653072,2747580,D05.SI,DBS Bank
2018-06-13,16.832326889038086,17.07739927935107,16.724733367616494,17.071422209857108,5100150,D05.SI,DBS Bank
2018-06-14,16.503572463989258,16.784508558644784,16.48563999927748,16.736689488817518,9161240,D05.SI,DBS Bank
2018-06-18,16.29436683654785,16.390004994494834,16.031361902193648,16.085158052512213,5941320,D05.SI,DBS Bank
2018-06-19,16.19872283935547,16.449773559958217,16.091130569172932,16.34218128977568,6875297,D05.SI,DBS Bank
2018-06-20,16.144927978515625,16.25849858142114,16.09710890930343,16.204702442083967,4660040,D05.SI,DBS Bank
2018-06-21,16.156883239746094,16.31827165642784,16.12101831107936,16.16883737989755,5877080,D05.SI,DBS Bank
2018-06-22,16.073200225830078,16.162861298877367,16.043313619516404,16.1090651566915,5715710,D05.SI,DBS Bank
2018-06-25,15.93571662902832,16.079173813185644,15.726507921939058,15.959626159721207,5390330,D05.SI,DBS Bank
2018-06-26,16.103084564208984,16.121015771611546,15.780305273479026,15.840078473032877,4698870,D05.SI,DBS Bank
2018-06-27,15.905828475952148,16.258494332760193,15.85203235067295,16.168833287890955,4843080,D05.SI,DBS Bank
2018-06-28,15.834099769592285,15.893874217082542,15.75639411655022,15.768348253584758,7150110,D05.SI,DBS Bank
2018-06-29,15.905828475952148,16.025376117742514,15.750415914571738,15.810190362519855,8059150,D05.SI,DBS Bank
2018-07-02,15.768353462219238,16.02538128852817,15.714557319582054,16.01940421803654,3837350,D05.SI,DBS Bank
2018-07-03,15.630870819091797,15.875944465264597,15.589028824122531,15.804215868505597,7369560,D05.SI,DBS Bank
2018-07-04,15.744443893432617,15.756399288497303,15.577077141270927,15.630873283796332,5943080,D05.SI,DBS Bank
2018-07-05,15.559144020080566,15.732489089523149,15.517303274382972,15.732489089523149,4911791,D05.SI,DBS Bank
2018-07-06,15.152681350708008,15.302115625367005,14.949449683722591,15.242342417145874,9370680,D05.SI,DBS Bank
