Date,Close,High,Low,Open,Volume,Ticker,Name
2018-01-02,2.9959640502929688,3.0017365464668173,2.975760141648492,2.9959640502929688,10640000,1295.KL,Public Bank
2018-01-03,2.9959640502929688,3.010395462763597,2.9930776301700375,3.0017365464668173,19802000,1295.KL,Public Bank
2018-01-04,2.9930779933929443,3.0132822485613087,2.9873054965185784,2.995964413866155,23738000,1295.KL,Public Bank
2018-01-05,2.9988503456115723,3.010395337478797,2.9930775056059606,2.9930775056059606,19008500,1295.KL,Public Bank
2018-01-08,3.0046234130859375,3.0103959101175968,2.9959644955024163,3.0103959101175968,38458000,1295.KL,Public Bank
2018-01-09,3.0046234130859375,3.0277137452846397,2.9959644955024163,3.013282330669459,34583500,1295.KL,Public Bank
2018-01-10,3.007509469985962,3.01616804245047,3.0017366295802583,3.0132819663196417,31996500,1295.KL,Public Bank
2018-01-11,3.0103952884674072,3.01328170842322,3.0046227926277753,3.01328170842322,20925500,1295.KL,Public Bank
2018-01-12,3.013282060623169,3.0277134739450258,3.007509564108833,3.01616813684432,18041500,1295.KL,Public Bank
2018-01-15,3.013282060623169,3.024827053651841,3.010395640329984,3.02194097743069,19692000,1295.KL,Public Bank
2018-01-16,3.013282060623169,3.02194097743069,3.007509564108833,3.0190545571375047,17384000,1295.KL,Public Bank
2018-01-17,3.013282060623169,3.0190545571375047,3.010395640329984,3.01616813684432,27636500,1295.KL,Public Bank
2018-01-18,3.013282060623169,3.024827053651841,3.0017367235224635,3.013282060623169,22616500,1295.KL,Public Bank
2018-01-19,3.0161681175231934,3.0190545377978886,3.0103956210458356,3.0103956210458356,20384000,1295.KL,Public Bank
2018-01-22,3.0248265266418457,3.0248265266418457,3.016167611342952,3.0248265266418457,16319000,1295.KL,Public Bank
2018-01-23,3.0248265266418457,3.027712946432135,3.016167611342952,3.021940450923531,16096500,1295.KL,Public Bank
2018-01-24,3.0248265266418457,3.0305990221504504,3.0190540311332414,3.021940450923531,8247000,1295.KL,Public Bank
2018-01-25,3.059462547302246,3.059462547302246,3.0248272222141,3.0248272222141,20442500,1295.KL,Public Bank
2018-01-26,3.0738940238952637,3.0854390165096364,3.0565761909016826,3.0565761909016826,20867000,1295.KL,Public Bank
2018-01-29,3.160482406616211,3.180686315125806,3.0738939323705092,3.0738939323705092,31916500,1295.KL,Public Bank
2018-01-30,3.172027826309204,3.2297534835847186,3.1431649976714473,3.1604828324829244,37765000,1295.KL,Public Bank
2018-02-02,3.1749138832092285,3.2643887793683932,3.1633685466330683,3.261502359206349,44830500,1295.KL,Public Bank
